"participant","technique","cameraTransition","renderingOrder","difficulty"
"8","Draggo","ZF","RF","3"
"8","Draggo","RF","RF","3"
"8","Draggo","RF","CF","4"
"8","Draggo","ZF","Coupled","4"
"8","Draggo","ZF","CF","2"
"8","Draggo","RF","Coupled","2"
"8","Goto","RF","CF","2"
"8","Goto","ZF","RF","1"
"8","Goto","RF","Coupled","2"
"8","Goto","ZF","Coupled","1"
"8","Goto","RF","RF","1"
"8","Goto","ZF","CF","2"
"9","Draggo","RF","RF","1"
"9","Draggo","ZF","Coupled","2"
"9","Draggo","ZF","RF","2"
"9","Draggo","RF","Coupled","2"
"9","Draggo","RF","CF","3"
"9","Draggo","ZF","CF","2"
"9","Goto","ZF","RF","2"
"9","Goto","ZF","Coupled","1"
"9","Goto","RF","CF","3"
"9","Goto","ZF","CF","1"
"9","Goto","RF","Coupled","1"
"9","Goto","RF","RF","2"
