"participant","id","nBlock","nSubBlock","map","technique","cameraTransition","renderingOrder","training","errorCount","timeFromStart","timeFromStreet","streetCount","firstAnswerFromStart","firstAnswerFromStreet","timeout","firstErrorMeasure","meanErrorMeasure"
"1",34,1,2,15,"Goto","RF","RF",false,0,36.244,21.87,1,36.244,21.87,false,0,0
"1",35,1,2,47,"Goto","RF","RF",false,0,14.638,3.574,1,14.638,3.574,false,0,0
"1",36,1,3,20,"Goto","ZF","RF",true,0,12.062,2.587,1,12.062,2.587,false,0,0
"1",37,1,3,24,"Goto","ZF","RF",false,0,14.662,3.287,1,14.662,3.287,false,0,0
"1",38,1,3,2,"Goto","ZF","RF",false,0,19.187,8.682,1,19.187,8.682,false,0,0
"1",39,1,3,53,"Goto","ZF","RF",false,0,13.41,2.207,1,13.41,2.207,false,0,0
"1",40,1,4,4,"Goto","ZF","CF",true,0,13.362,3.185,1,13.362,3.185,false,0,0
"1",41,1,4,55,"Goto","ZF","CF",false,0,22.836,5.465,1,22.836,5.465,false,0,0
"1",42,1,4,29,"Goto","ZF","CF",false,0,23.202,10.064,1,23.202,10.064,false,0,0
"1",43,1,4,25,"Goto","ZF","CF",false,0,17.483,5.452,1,17.483,5.452,false,0,0
"1",44,1,5,8,"Goto","ZF","Coupled",true,0,13.069,3.398,1,13.069,3.398,false,0,0
"1",45,1,5,7,"Goto","ZF","Coupled",false,0,14.441,4.324,1,14.441,4.324,false,0,0
"1",46,1,5,41,"Goto","ZF","Coupled",false,0,24.85,11.091,1,24.85,11.091,false,0,0
"1",47,1,5,11,"Goto","ZF","Coupled",false,0,22.111,4.544,1,22.111,4.544,false,0,0
"10",0,0,0,12,"Draggo","ZF","Coupled",true,3,171.48,128.77,5,111.661,68.951,false,0.9607689796000182,1.0320891482146513
"10",1,0,0,27,"Draggo","ZF","Coupled",false,0,19.311,8.637,1,19.311,8.637,false,0,0
"10",2,0,0,5,"Draggo","ZF","Coupled",false,0,15.883,7.124,1,15.883,7.124,false,0,0
"10",3,0,0,10,"Draggo","ZF","Coupled",false,1,39.838,28.673,2,38.134,26.969,false,0.37609599941732447,0.37609599941732447
